Sample	ATG5 	Cleaved Caspase 3 D175 	Cleaved Caspase 7 D198 	Cleaved Caspase 9 D330 	Cleaved Fodrin a D1185 	Cleaved PARP D214 	Cyclin A 	Cyclin B1 	Cyclin D1	EGFR 	ErbB2 	ErbB3 	ErbB4 	LC3B 	Nanog 	p4E-BP1 S65 	p4E-BP1 T37/46 	pAcetyl-CoA Carboxylase S79 	pAck1 Y284 	pAck1 Y857/858 	pAdducin S662 	pAKT S473 	pAKT T308 	pALK Y1604 	pAMPK a1 S485 	pAMPK B1 S108 	pA-Raf S299 	pArrestin1 B S412 	pASK1 S83 	pATF-2 T69/71 	pATF-2 T71 	pATP-Citrate Lyase S454 	pAurora A/B/C T288/232/198 	pBAD S112 	pBAD S136 	pBAD S155 	pBcl-2 S70 	pB-Raf S445 	pc-Abl T735 	pc-Abl Y245 	pCatenin B S33/37/T41 	pChk-1 S345 	pChk-2 S33/35 	pc-Kit Y719 	pCofilin S3 	pc-PLA2 S505 	pc-Raf S338 	pCREB S133 	pCrkII Y221 	pCrkL Y207 	pCyclin D1 T286 	pEGFR S1046/1047 	pEGFR Y1068 	pEGFR Y1148 	pEGFR Y1173 	pEGFR Y992 	peIF4E S209 	peIF4G S1108 	pElk-1 S383 	peNOS S113 	peNOS S1177 	peNOS/NOSIII S116 	pErbB2 Y1248 	pErbB3 Y1197 	pErbB3 Y1289 	pERK 1/2 T202/Y204 	pEzrin Y353 	pEzrin/Radixin/Moesin T567/564/558 	pFADD S194 	pFAK Y397 	pFKHR S256 	pFKHR/FKHRL1 T24/32 	pFKHRL1 S253 	pFRS2-a Y436 	pGab1 Y627 	pGSK3 a/B S21/9 	pHistone H3 S10 	pHistone H3 S28 	pIGF-1 Rec/IR Y1131/1146 	pIGF-1R/IR Y1135/36/1150/51 	pIkBa S32/36 	pIRS-1 S612 	pJak2 Y1007 	pLKB1 S334 	pLKB1 S428 	pMARCKs S152/156 	pMEK 1/2 S217/221 	pMEK1 S298 	pMet Y1234/35 	pMSK1 S360 	pMst1/2 T183/180 	pmTOR S2448 	pNFkB p65 S536 	pNPM T199 	pp27 T187 	pp53 S15 	pp70 S6 Kinase S371 	pp70 S6 Kinase T389 	pp70 S6 Kinase T412 	pp90RSK S380 	pp90RSK T359/S363 	pPAK1/2 S199/204/S192/197 	pPAK1/2 T423/402 	pPaxillin Y118 	pPDGFR B Y751 	pPDK1 S241 	pPKA C T197 	pPKC (pan) BII S660 	pPKC a/BII T638/641 	pPKC alpha S657 	pPKC delta T505 	pPKC theta T538 	pPKC zeta/lambda T410/403 	pPLC gamma 1 Y783 	pPLK1 T210	pPRAS40 T246 	pPRK1/2 T774/816 	pPTEN S380 	pPyk2 Y402 	pRaf S259 	pRas-GRF1 S916 	pRet Y905 	pRon Y1353 	pRSK3 T356/S360 	pS6 Ribosomal Protein S235/236 	pS6 Ribosomal Protein S240/244 	pSAPK/JNK T183/Y185 	pSGK1 S78 	pShc Y317 	pSHIP1 Y1020 	pSHP2 Y580 	pSmad1/5/8 SS/SS/SS 	pSmad2 S245/250/255 	pSmad2 S465/467 	pSrc Family Y416 	pStat1 Y701	pStat2 Y690 	pStat3 S727 	pStat3 Y705 	pStat4 Y693 	pStat5 Y694 	pStat6 Y641 	pTuberin/TSC2 Y1571 	pTyk2 Y1054/1055 	pVEGFR 2 Y1175 	pVEGFR 2 Y951 	pVEGFR 2 Y996 	Vimentin 
Lysate 1 	35242.23	8955.30	7855.74	16647.25	8143.70	0.00	3597.52	31888.47	2421.15	87553.04	20475.82	4302.71	6829.46	3232.47	4628.55	54720.84	97733.51	15413.51	2607.12	5372.24	26108.08	6444.61	0.00	6489.88	22247.84	5029.12	16647.25	32208.97	7158.10	2179.82	4424.89	22247.84	5177.10	4783.84	11896.50	10229.18	16010.50	27446.67	11568.02	4238.65	22247.84	0.00	0.00	15108.31	84120.04	8450.66	43477.56	5420.80	1667.37	12708.16	0.00	0.00	10850.86215	17606.09	9358.12	2771.10	4420.46	28853.90	5156.43	2199.53	11684.29	23155.79	26903.18	14559.52	15199.22	20292.37	2849.79	1738.89	13480.50	4060.25	15367.35	24100.80	0.00	6594.56	6198.11	8839.63	0.00	4048.09	2373.21	3561.73	10582.96	13863.29	5508.24	8459.12	9907.03	14002.62	2171.12	2887.08	47572.04	4281.25	17309.31	12344.92	6509.38	9255.75	5866.42	0.00	9867.48	3096.41	19633.65	1427.96	0.00	0.00	7707.89	39340.11	56954.03	80821.65	18694.80	13588.79	6721.05	26108.08	12222.09	3789.54	30638.11	2475.01	22471.44	16090.75	54176.34	26370.48	3774.41	6457.51	2673.12	5223.90	3428.92	37049.14	0.00	3766.87	3281.32	18601.55	5464.35	38561.14	10604.14	25591.09	7654.12	7413.07	8544.14	5426.23	35596.39	11944.18	9779.07	17907.95	23155.79	13200.37	12606.91	15321.31	7030.41	4380.86	7009.35	4684.43
Lysate 2 	61083.71	8673.26	9054.35	15946.59	7585.55	0.00	3190.71	23388.52	2401.86	54176.34	18196.78	1094.44	6093.64	6627.61	4536.90	69563.80	88432.99	133252.38	2273.33	4703.21	23388.52	27446.67	0.00	5177.10	13467.04	3501.69	5161.59	33189.87	5271.13	2428.43	9330.09	48533.03	5019.07	8119.31	11203.71	9691.46	14957.98	26903.18	7273.55	3547.50	15772.14	0.00	0.00	12874.45	71682.38	9808.45	33189.87	7525.10	2217.20	17119.96	0.00	0.00	8200.91	15615.20	7266.28	2858.35	3659.20	108012.27	3979.85	2316.93	12926.05	12357.27	14544.96	11125.56	4247.14	10905.25	1302.45	1235.21	5255.34	4633.19	9274.28	5318.79	0.00	3487.71	0.00	6298.08	0.00	1389.92	2134.53	4376.48	9877.35	6734.50	0.00	7339.31	3377.87	4514.28	1896.94	2401.86	3074.82	2614.95	43477.56	31888.47	12797.43	8681.94	4582.50	31571.17	11556.46	20455.35	47098.68	1118.79	0.00	0.00	7958.54	16814.54	3651.89	41357.13	23623.56	17623.71	32208.97	64860.88	14544.96	4750.47	30638.11	1986.24	18453.33	54720.84	64215.49	25848.29	2740.79	10785.96	2558.05	3053.37	3219.56	15693.47	5943.18	20475.82	3804.73	15568.42	2145.23	3648.24	7754.28	4209.08	10249.66	11614.38	4642.46	3648.24	30333.25	144350.57	50011.07	8964.25	21057.24	3143.21	9311.45	3540.42	6470.44	2296.17	6627.61	7600.73
Lysate 3 	30031.45	9691.46	12848.73	12468.99	9209.59	0.00	5710.14	12382.01	2939.52	32208.97	20070.36	0.00	6674.17	7540.17	4328.60	112420.33	109097.84	8291.61	2818.61	5458.88	14588.67	10530.17	3999.80	11556.46	10948.96	4179.72	11778.13	4979.08	8561.24	1730.21	2219.42	14705.84	4496.26	9471.10	9163.65	10582.96	16350.27	30946.03	7058.59	7390.86	16415.81	0.00	0.00	13794.15	80017.45	5721.58	43044.94	4949.29	2841.25	23155.79	0.00	0.00	1044.19	12112.59	16983.54	1747.60	3778.19	34544.37	12209.87	6667.50	13453.57	8442.22	18324.61	10742.89	5802.25	79221.24	1927.54	1374.71	4861.00	4698.51	7143.80	35242.23	0.00	5569.16	0.00	6898.09	0.00	1472.92	3087.14	4376.48	10614.76	12861.58	0.00	7754.28	10127.40	8982.20	2130.26	2255.21	8510.02	5125.58	21418.28	36680.49	11384.41	7816.56	3759.35	0.00	8848.47	20231.58	49513.49	1162.12	0.00	0.00	8143.70	80017.45	9311.45	62317.65	11637.65	14058.74	14200.04	51534.17	11860.86	3152.65	18306.28	3245.42	19516.19	30946.03	49513.49	20660.93	5361.50	6932.67	3529.81	3766.87	3862.23	38177.45	13240.03	27722.50	5345.44	15537.32	2173.30	4536.90	11944.18	25336.48	8135.56	6727.78	12606.91	10249.66	36680.49	41772.79	46166.04	12518.97	32859.61	4587.08	9643.12	12506.45	7251.76	4487.27	7172.43	3590.33
Lysate 4 	31888.47	8664.59	7570.39	15584.00	6045.08	0.00	3473.78	20785.28	4619.31	30333.25	29436.77	2475.01	6323.32	5658.98	3608.33	78433.03	102744.43	66171.19	3324.25	4779.06	10208.74	7295.41	0.00	5996.91	11338.97	3004.90	8316.53	8777.97	6167.20	2241.72	4482.79	46166.04	5907.63	4774.29	12900.23	8769.20	15032.95	41357.13	6528.94	3846.81	18269.71	0.00	0.00	14299.79	38948.66	9808.45	32859.61	8151.85	8233.77	38561.14	0.00	0.00	4722.06	10582.96	6463.98	1988.23	9405.03	52575.20	8612.76	2337.88	12209.87	13346.37	16010.50	11158.98	7832.21	48533.03	1230.28	1197.51	8433.78	2335.54	6775.04	21162.80	0.00	3877.71	1701.05	8459.12	0.00	1371.97	2210.56	2484.93	8476.05	4121.62	1605.19	7016.36	3648.24	3975.87	1868.70	2226.09	9847.76	4179.72	28282.54	23623.56	4264.16	7051.53	5019.07	2079.74	23155.79	13095.18	38948.66	1449.54	0.00	0.00	6707.62	5166.76	32532.68	47572.04	17747.51	8804.34	3428.92	11407.20	9414.44	3165.29	15851.18	1846.41	22925.38	24834.77	50011.07	22925.38	3281.32	6555.11	1759.88	3297.76	4268.43	25591.09	9907.03	28282.54	5039.18	13794.15	1960.59	3877.71	8103.08	20150.82	16399.40	6870.55	9330.09	4500.75	25336.48	16203.78	20889.45	12977.85	26108.08	4856.14	9036.26	3648.24	6843.13	2230.54	7950.58	3261.69
Lysate 5 	23860.98	9292.85	6953.50	16647.25	7715.61	0.00	3149.50	23155.79	3294.47	38561.14	26370.48	2002.20	6694.22	2576.02	4514.28	32208.97	85819.34	15428.94	3307.67	5574.74	10785.96	14838.78	0.00	7398.26	8647.28	3858.37	9847.76	1376.09	6856.83	2472.54	4836.76	11237.36	5229.13	4380.86	11114.43	8518.54	15032.95	29143.87	12197.67	5234.36	20764.50	0.00	0.00	13134.53	81633.94	10352.67	33189.87	3190.71	6877.43	30333.25	0.00	0.00	12544.03	12307.94	11778.13	2872.68	6714.34	60475.90	5972.97	2050.83	9339.43	12040.12	24343.02	13863.29	13960.67	20211.35	1804.43	1692.56	6542.01	3388.02	9808.45	5458.88	0.00	5437.09	4044.04	6124.18	0.00	1495.18	2319.25	4491.76	9172.82	4722.06	2945.40	7193.98	2732.58	3111.94	1614.85	2259.73	40945.61	3324.25	19970.28	10561.81	6412.47	10425.39	5079.66	145801.35	22026.47	5508.24	14256.95	0.00	0.00	0.00	6884.31	30031.45	54720.84	35596.39	10807.55	7435.34	3371.12	11237.36	12506.45	3999.80	39340.11	2426.00	20496.32	28282.54	59278.37	17448.35	7950.58	4345.95	3388.02	7129.52	4433.75	19015.31	1507.19	6260.40	4559.65	15490.77	4451.52	3087.14	11203.71	13134.53	13306.40	6124.18	10721.43	3827.63	33189.87	48050.11	7129.52	19850.81	37797.57	9749.78	10342.33	13055.96	7615.95	4359.01	9946.74	4514.28
Lysate 6 	25591.09	9788.86	7654.12	16680.57	6988.35	0.00	3334.24	20292.37	3294.47	37049.14	38561.14	2477.49	6707.62	3121.28	4740.98	35596.39	100710.01	18124.14	3789.54	7259.02	13794.15	10519.64	0.00	13807.95	9376.86	4350.30	8192.71	1236.45	7093.96	2467.60	5074.58	13386.47	6179.55	5064.44	12246.56	9897.13	15290.70	30638.11	14328.41	7562.82	21015.17	0.00	0.00	15138.55	87553.04	9652.77	35596.39	4200.67	14371.47	29143.87	0.00	0.00	33523.44	13440.12	27446.67	4865.86	7037.44	63576.58	6111.95	1891.26	11147.83	11789.92	32208.97	16317.60	40134.85	23388.52	3264.95	1912.18	5889.93	3714.50	10137.53	5393.77	0.00	8919.54	9966.65	6721.05	0.00	1624.57	3364.38	5535.85	9976.63	5442.54	4213.29	8200.91	3162.13	3143.21	1531.50	2389.88	63576.58	3572.42	21916.61	13521.01	7266.28	11059.00	6045.08	150241.62	24100.80	8030.48	21354.12	0.00	0.00	0.00	8349.86	25591.09	141492.17	35954.15	10582.96	7934.69	3583.16	12100.48	11944.18	4979.08	44801.64	3778.19	22697.27	26903.18	61697.56	14515.90	10394.16	3850.66	3334.24	15584.00	5480.77	19418.85	3320.93	14898.27	5187.46	13821.77	7339.31	3936.31	13849.44	14868.50	14228.46	6528.94	23388.52	6154.88	30946.03	52575.20	8217.32	37049.14	68871.68	24343.02	10477.65	20640.29	7982.44	7427.91	18178.59	6342.32
Lysate 7 	22925.38	9330.09	11103.32	12990.84	7982.44	0.00	3948.14	27173.57	3515.72	68871.68	38177.45	4568.77	5074.58	3498.19	4150.57	102744.43	105873.44	22471.44	2980.96	5297.55	14823.96	15290.70	0.00	9966.65	12810.24	4350.30	11742.86	2492.40	6179.55	2450.38	5120.46	11591.18	6451.06	6863.68	8777.97	10311.35	15459.82	56954.03	7136.66	6904.99	17570.91	0.00	0.00	13293.09	86681.86	9117.95	49020.81	5750.26	10016.61	22471.44	0.00	0.00	15867.05	15693.47	15506.28	2649.17	4745.73	61697.56	8612.76	2975.00	15305.99	23155.79	23860.98	14691.15	26903.18	39735.50	2106.96	1422.26	6574.81	5658.98	7700.19	8892.83	0.00	5192.65	3869.96	6727.78	0.00	2477.49	2512.42	5715.86	8275.05	4684.43	4389.63	6795.39	4268.43	3320.93	1662.37	2565.73	66836.17	3869.96	16966.57	16713.97	5636.40	8621.38	5733.03	1929.47	19225.64	29436.77	53637.32	0.00	0.00	0.00	7222.82	36680.49	53103.61	50011.07	9966.65	7115.28	6374.11	23860.98	13121.41	3146.35	43477.56	2119.64	19418.85	35242.23	70969.12	15321.31	6204.31	8022.46	5393.77	6118.06	3897.15	21633.54	2673.12	10894.35	5535.85	14100.98	4337.27	3340.92	9779.07	27173.57	8699.32	5281.68	9480.57	4398.42	28853.90	25848.29	11271.13	20110.56	51021.39	14314.10	8955.30	14299.79	6953.50	4712.62	10970.89	4146.42
Lysate 8 	28853.90	11568.02	18882.67	21290.15	8308.21	0.00	6118.06	19830.98	3881.59	63576.58	54176.34	3967.93	5334.76	5837.16	4056.19	48050.11	98715.77	11602.78	2721.67	5382.99	22026.47	7723.32	0.00	4788.63	12258.80	3529.81	29436.77	7208.39	5895.83	2754.52	6081.46	46630.03	5187.46	12670.09	15584.00	13359.73	14928.09	91126.15	7158.10	3597.52	16915.74	0.00	0.00	13082.10	75357.56	7855.74	44355.85	5161.59	1804.43	10540.70	0.00	0.00	4900.05	11316.30	6191.92	2492.40	6680.85	30638.11	8518.54	2132.39	13643.25	14157.50	22247.84	11293.69	11203.71	48533.03	1804.43	2312.30	8006.43	3361.02	7887.22	8217.32	0.00	5297.55	2273.33	7692.49	0.00	1716.43	2382.72	2746.27	10657.30	8804.34	3932.38	6291.78	7608.34	3797.13	2036.52	2665.11	27173.57	4281.25	9480.57	26903.18	9749.78	6574.81	4555.09	0.00	13200.37	9405.03	47572.04	2440.60	0.00	0.00	8341.52	8955.30	59278.37	59278.37	9154.49	12028.10	3130.66	10667.95	13293.09	3928.45	45251.91	1885.60	19830.98	16350.27	64860.88	36315.50	3648.24	10086.97	2810.17	4861.00	3041.18	77652.59	1311.60	5860.56	8022.46	16366.63	2904.45	2927.78	7585.55	25591.09	10959.92	6057.18	7646.48	4527.84	32208.97	54720.84	37049.14	19302.70	19072.45	8383.33	9117.95	9769.30	7150.95	3415.23	8038.51	2452.84
Lysate 9 	21525.64	8804.34	10414.98	23155.79	7585.55	3428.92	4736.25	8200.91	2492.40	72402.75	31257.05	1468.50	6204.31	2366.10	4251.38	70969.12	101722.09	86681.86	3519.24	5687.35	14928.09	20231.58	1711.29	6918.82	10678.63	3759.35	5790.65	1813.47	18564.39	2630.69	4600.87	13333.04	5693.04	12951.93	15290.70	10188.35	14429.06	20231.58	6587.97	6925.74	19850.81	0.00	0.00	14143.35	90219.41	13173.99	39340.11	7608.34	2986.93	26635.48	0.00	0.00	12556.58	13794.15	11441.48	4429.31	8725.46	15584.00	10732.16	2530.06	13725.36	17747.51	19187.23	13306.40	6502.88	62317.65	3044.22	1531.50	5519.27	3670.20	6815.81	28566.79	0.00	5653.33	2484.93	12784.65	0.00	1674.05	3367.75	3162.13	11103.32	6191.92	0.00	8062.67	2201.73	5156.43	2106.96	2512.42	5972.97	5647.68	10321.66	13042.91	4964.16	8062.67	5039.18	1284.34	9265.01	6254.15	27722.50	1637.62	0.00	0.00	41357.13	24834.77	5647.68	46166.04	13548.08	10721.43	3428.92	9209.59	10970.89	5366.87	30946.03	2106.96	21141.64	53637.32	32859.61	25848.29	6925.74	6654.18	3948.14	4376.48	5276.40	28853.90	0.00	3979.85	5377.61	15835.35	4642.46	3684.90	11778.13	36680.49	11487.33	10321.66	28566.79	6185.73	35596.39	62943.97	131926.46	10785.96	27446.67	4619.31	9946.74	15930.64	6781.81	2983.94	10710.72	4072.45
Lysate 10 	32532.68	9614.23	7998.43	21375.49	10086.97	0.00	6470.44	14779.55	5613.90	49513.49	46166.04	3695.98	5625.14	4048.09	4482.79	130613.74	106937.51	4175.54	2675.79	5647.68	6974.39	14574.08	0.00	8233.77	9433.29	3904.95	6995.34	3740.60	7051.53	3213.13	6438.18	8725.46	5250.09	5949.13	7172.43	9926.87	15851.18	45706.67	7918.84	6768.26	16415.81	0.00	0.00	14171.67	86681.86	4294.11	43914.49	1996.20	2397.06	7051.53	0.00	0.00	4954.25	17361.32	6721.05	3019.96	4251.38	38948.66	9237.25	2887.08	10829.18	8006.43	24100.80	11908.41	9595.02	55270.80	3226.01	1610.02	4455.97	7331.97	6849.97	8681.94	0.00	5925.38	2702.68	5486.25	0.00	2153.82	3130.66	6476.92	11591.18	11475.84	2933.64	6849.97	4759.99	2175.47	1507.19	2673.12	31571.17	2399.46	34544.37	15615.20	4234.41	7331.97	4060.25	0.00	8160.00	14764.79	32859.61	1114.32	0.00	0.00	7472.61	64215.49	15867.05	47098.68	11259.87	11896.50	8014.44	31257.05	12394.40	3633.68	42192.58	2277.88	19970.28	29732.62	46166.04	18124.14	5004.03	6601.16	3065.60	4600.87	4238.65	61697.56	7793.15	22247.84	8333.18	15898.81	3317.61	5094.93	11192.51	15978.51	6329.65	9897.13	10742.89	5727.30	27173.57	31888.47	26903.18	13426.69	25336.48	8349.86	9837.93	14588.67	7331.97	7738.79	9027.22	4209.08
